,filename,land_type_pred,pop_pred,land_name,pop,filesize
0,Germany/images/DE045L1_ISERLOHN/51.407552_7.816733.jpg,3,1,urban_fabric,3321.65552062,14086
1,Germany/images/DE032L1_ERFURT/51.144414_10.969350.jpg,4,0,water,0.0,6850
2,Netherlands/images/NL515L2_VENLO/51.391450_5.987635.jpg,1,0,forests,0.0,9749
3,Germany/images/DE063L1_PLAUEN/50.324482_12.174190.jpg,1,0,forests,0.0,9595
4,Germany/images/DE033L2_AUGSBURG/48.389878_10.913638.jpg,2,1,other_roads_and_associated_land,532.171783799,18139
5,Poland/images/PL040L1_PRZEMYSL/49.833017_22.644870.jpg,1,0,forests,0.0,12598
6,Poland/images/PL041L1_ZAMOSC/50.815734_23.226792.jpg,1,0,forests,0.0,9708
7,Poland/images/PL041L1_ZAMOSC/50.636451_23.423298.jpg,1,0,forests,0.0,10571
8,Poland/images/PL049L1_SWIDNICA/50.776410_16.502843.jpg,1,0,forests,0.0,12143
9,Poland/images/PL045L1_STALOWA_WOLA/50.497563_22.459293.jpg,1,0,forests,0.0,11577
10,Germany/images/DE529L1_HEILBRONN/49.264889_9.349983.jpg,1,0,forests,0.0,10899
11,Germany/images/DE055L0_NEUMUNSTER/54.087828_9.991686.jpg,3,1,urban_fabric,3963.12971039,13476
12,Germany/images/DE077L1_SCHWEINFURT/50.168155_9.735333.jpg,1,0,forests,0.0,10072
13,Germany/images/DE073L1_OFFENBURG/48.511044_7.863170.jpg,1,0,forests,0.0,11702
14,Germany/images/DE029L0_FRANKFURT_ODER/52.307582_14.576220.jpg,1,0,forests,0.0,8487
15,Poland/images/PL506L2_BIELSKO_BIALA/49.853327_18.846508.jpg,4,0,water,0.0,6448
16,France/images/FR065L2_BOURGES/47.101316_2.401769.jpg,3,1,urban_fabric,7462.23354859,16595
17,Belgium/images/BE008L1_LEUVEN/50.814064_4.768127.jpg,1,0,forests,0.0,10229
18,UK/images/UK571L1_CHELTENHAM/51.966792_-1.986341.jpg,1,0,forests,0.0,10422
19,Germany/images/DE044L1_KAISERSLAUTERN/49.501288_7.550093.jpg,1,0,forests,0.0,12220
20,Germany/images/DE504L1_MUNSTER/51.926753_7.117108.jpg,1,0,forests,0.0,10708
21,UK/images/UK517L1_SWANSEA/51.683064_-3.816548.jpg,3,1,urban_fabric,4249.07259807,16062
22,Germany/images/DE054L1_KONSTANZ/47.691184_9.148626.jpg,3,1,urban_fabric,7162.38497318,14470
23,Germany/images/DE062L1_BAMBERG/49.919245_10.812748.jpg,4,1,water,23.312119670900003,6404
24,Germany/images/DE083L1_BRAUNSCHWEIG_SALZGITTER_WOLFSBURG/52.245918_10.492933.jpg,3,1,urban_fabric,13019.910923899999,12073
